Temp,Turbidity (cm),DO(mg/L),BOD (mg/L),pH,Ammonia (mg L-1 ),Nitrite (mg L-1 ),Water Quality
"17,59","15,39","5,2948","3,9719","6,4463","0,0409","0,2023",1
"31,35","22,07","6,3175","3,0997","9,4172","0,0354","1,4495",1
"34,15","25,11","7,9411","5,3100","9,0482","0,0281","1,8107",1
"31,42","18,24","5,5113","4,6392","9,0902","0,0253","1,8418",1
"34,14","28,11","5,3485","5,3791","9,2562","0,0342","1,3929",1
"32,47","20,43","6,6096","5,5747","6,2428","0,0448","0,9399",1
"33,34","24,98","5,4861","5,3387","6,1441","0,0402","1,6932",1
"17,56","24,50","6,0817","3,6462","9,3175","0,0482","0,9586",1
"34,08","17,03","6,8018","4,5395","6,1693","0,0482","1,4751",1
"34,26","18,17","5,1352","3,4554","6,3286","0,0397","1,9712",1
"19,34","17,00","6,0539","5,2760","9,1029","0,0256","0,7666",1
"15,12","27,08","7,3331","5,2348","6,1070","0,0381","1,8282",1
"17,29","16,09","7,2502","2,3208","9,2288","0,0364","1,2491",1
"32,10","15,56","5,0044","3,4643","6,4115","0,0332","1,6797",1
"31,07","26,95","6,4754","4,8260","9,2425","0,0273","0,8481",1
"34,24","15,10","6,4242","5,8640","9,2469","0,0381","0,0463",1
"30,04","15,81","5,0712","4,0429","6,4784","0,0477","0,0710",1
"33,83","25,61","6,4203","2,5174","6,3634","0,0467","1,1421",1
"15,88","21,90","5,7757","3,0010","9,3472","0,0379","0,8398",1
"31,36","25,50","5,6685","2,7870","9,2812","0,0310","1,7145",1
"31,02","16,61","6,8404","2,9577","9,2350","0,0327","1,0295",1
"34,30","28,03","5,8560","5,4297","6,0945","0,0349","1,9330",1
"17,45","27,24","5,9699","2,5404","6,2488","0,0279","1,4487",1
"32,26","24,98","7,7093","4,0100","9,2260","0,0306","1,2947",1
"19,47","24,22","7,9920","3,0162","9,0122","0,0271","1,1016",1
"19,58","29,99","7,2554","3,0879","6,2315","0,0498","0,1393",1
"34,21","15,40","7,0010","5,5531","6,1218","0,0397","0,2568",1
"31,57","26,73","7,8685","5,6659","9,1215","0,0408","0,1981",1
"30,53","25,07","5,1391","3,5264","6,4243","0,0300","0,7515",1
"16,58","28,54","7,4226","3,9605","9,0947","0,0293","0,3978",1
"31,04","25,80","7,5729","3,7669","6,0531","0,0362","0,4284",1
"17,02","16,11","6,5562","5,4609","6,0047","0,0351","1,4047",1
"18,41","21,29","7,3670","2,1386","6,0717","0,0277","0,1455",1
"31,18","28,63","5,5095","2,1791","6,0501","0,0293","1,0031",1
"19,58","17,22","6,7049","4,6676","9,0251","0,0403","0,4059",1
"32,29","16,36","6,1808","4,7277","9,0142","0,0374","0,8990",1
"34,76","22,62","7,5138","4,3628","9,2626","0,0318","0,9152",1
"15,42","21,62","5,2410","2,2796","9,4575","0,0326","0,2461",1
"18,12","27,49","6,1420","3,5299","6,2234","0,0251","0,8027",1
"33,17","15,54","6,7322","4,4901","6,2587","0,0250","0,6284",1
"33,54","16,25","7,2356","4,8895","6,4714","0,0380","1,1378",1
"31,09","29,82","6,3798","4,5757","6,0566","0,0311","1,5911",1
"31,73","15,55","5,2255","4,6571","6,4430","0,0272","0,3585",1
"19,77","18,41","5,0904","4,3832","9,1038","0,0408","0,5470",1
"18,12","28,77","5,6962","2,5231","6,0495","0,0453","0,4707",1
"34,25","26,99","7,9599","3,7967","6,2126","0,0250","1,3475",1
"15,24","16,48","6,0827","4,7298","6,1279","0,0447","0,1164",1
"30,87","19,50","6,5847","4,9196","9,2400","0,0349","0,1006",1
"17,66","26,01","6,3568","3,9414","6,2024","0,0424","0,9817",1
"33,82","28,90","5,9257","2,1698","6,3306","0,0271","0,4030",1
"17,20","29,78","6,9295","3,7241","9,4254","0,0327","1,7134",1
"19,48","17,96","5,4672","3,9943","9,3551","0,0315","0,0880",1
"33,09","24,66","6,8333","2,2295","6,2852","0,0298","0,4541",1
"34,52","16,49","5,4685","3,6250","6,2545","0,0457","1,9211",1
"30,56","18,00","7,2939","4,2021","6,1011","0,0332","1,5705",1
"15,78","20,05","7,4143","2,4707","9,3660","0,0257","1,2575",1
"15,15","26,26","7,3106","5,4582","6,3816","0,0306","1,4235",1
"32,31","17,71","6,7358","5,4147","9,3602","0,0460","1,9850",1
"31,32","24,73","7,5776","4,7899","6,4881","0,0459","0,9291",1
"30,98","17,74","5,4434","4,3022","9,2950","0,0419","0,6383",1
"18,30","24,32","6,7772","5,5773","9,2188","0,0335","1,8275",1
"17,57","26,34","5,9278","2,2698","9,2820","0,0253","1,8568",1
"19,80","18,69","6,8129","2,8123","6,2411","0,0422","1,1178",1
"33,72","16,33","5,6884","2,4591","9,1721","0,0322","1,1961",1
"34,83","27,52","7,3873","3,5752","9,4804","0,0404","1,7130",1
"32,30","23,05","6,4001","4,7545","9,2656","0,0410","1,7791",1
"18,29","16,17","6,2886","2,8300","6,1459","0,0490","0,1958",1
"16,75","22,12","6,7476","3,1357","9,2849","0,0482","1,4598",1
"19,53","26,66","6,1893","4,6073","9,4152","0,0315","1,7530",1
"33,00","15,83","6,7448","4,5069","6,2053","0,0356","1,5507",1
"33,51","23,28","5,2851","2,6345","6,4942","0,0496","0,7916",1
"16,00","21,31","7,4507","5,5594","9,1772","0,0298","1,6825",1
"30,50","17,26","5,4487","4,3863","9,1781","0,0433","1,5185",1
"15,59","29,92","6,6840","5,0627","6,2111","0,0255","1,7194",1
"34,72","27,91","6,4228","4,9846","6,3388","0,0260","0,3601",1
"17,85","27,62","5,2638","2,1301","6,0681","0,0398","1,8804",1
"31,62","27,71","7,0714","3,7876","6,3632","0,0279","0,7544",1
"33,91","27,00","7,3571","2,8203","9,0783","0,0292","0,7560",1
"34,81","21,99","7,3371","5,7360","9,4213","0,0441","1,5784",1
"16,09","22,40","7,8751","4,1878","6,0478","0,0453","1,6007",1
"18,82","17,59","5,2793","3,4828","9,3936","0,0325","1,6007",1
"18,51","16,98","5,0742","3,3315","6,1481","0,0345","1,4865",1
"17,83","27,72","6,8312","3,4804","6,0205","0,0402","0,0292",1
"32,18","22,20","5,8964","2,5546","9,0087","0,0427","0,3366",1
"32,55","28,83","5,7387","3,5181","6,3646","0,0366","1,2461",1
"32,12","16,88","5,6047","5,0976","6,2120","0,0341","0,0594",1
"16,23","24,64","6,8815","5,0117","6,0015","0,0499","1,4682",1
"19,08","17,32","5,7538","3,2936","6,3776","0,0333","1,5423",1
"15,68","29,87","7,3170","3,6069","9,1979","0,0353","1,7745",1
"15,69","18,73","6,3108","5,8745","9,3978","0,0379","0,2199",1
"30,78","27,78","5,1661","4,8370","9,1648","0,0327","0,9973",1
"33,56","26,77","5,6095","3,1233","9,3533","0,0409","0,0400",1
"32,22","28,47","7,0917","3,0670","6,2851","0,0426","0,4259",1
"18,02","27,63","7,8575","5,0928","6,0841","0,0461","0,6696",1
"17,88","17,89","7,8438","5,5867","9,4757","0,0487","1,3461",1
"15,27","29,13","5,6947","2,9007","9,0231","0,0336","0,6865",1
"33,74","18,05","6,3614","4,7136","6,3582","0,0359","0,0409",1
"32,73","22,40","6,9564","2,1363","6,1374","0,0440","0,8904",1
"34,24","16,49","7,0274","5,7872","9,3843","0,0469","1,9521",1
"16,95","16,36","5,5607","3,3622","9,4515","0,0448","0,9568",1
"17,14","17,94","5,2823","2,2767","9,4257","0,0485","0,8659",1
"15,35","23,33","5,8231","3,4362","6,4071","0,0337","0,8501",1
"34,07","26,86","7,1253","3,5493","9,1011","0,0341","1,4346",1
"30,54","22,81","6,8829","4,4540","6,0900","0,0404","0,2148",1
"19,91","20,18","7,5856","3,7515","9,4509","0,0493","1,7861",1
"32,97","19,00","7,0450","3,0852","6,0036","0,0425","0,6933",1
"16,95","23,17","5,4542","2,7773","9,0563","0,0275","1,4967",1
"19,89","16,48","7,3143","5,7713","6,2930","0,0437","1,7794",1
"31,37","23,66","7,7221","2,2038","9,0020","0,0318","0,7946",1
"31,16","17,38","7,1359","5,4807","6,2190","0,0351","0,8048",1
"30,15","17,75","6,8341","3,3371","6,2625","0,0330","1,2602",1
"30,34","17,33","6,5710","5,2075","9,3285","0,0326","0,1882",1
"18,13","15,02","7,4913","2,1821","9,4246","0,0339","0,1626",1
"19,62","17,25","6,0550","2,0116","9,3147","0,0340","1,9503",1
"18,75","28,26","6,9744","4,1708","6,2633","0,0472","1,1663",1
"30,94","22,96","7,2082","4,3235","9,0825","0,0406","1,8050",1
"30,42","27,37","5,0422","3,1511","6,2268","0,0300","1,6818",1
"17,19","15,50","5,0035","5,2744","6,0984","0,0418","0,5731",1
"31,61","27,64","7,7354","4,1042","6,4441","0,0264","0,0989",1
"30,32","19,73","6,4194","4,8387","9,0390","0,0457","1,3264",1
"18,64","26,30","6,2719","5,7224","6,2951","0,0481","0,4805",1
"31,35","20,30","6,6053","2,6440","6,1124","0,0477","1,9135",1
"31,79","15,16","6,6893","3,6066","6,1444","0,0414","1,4925",1
"31,73","28,99","6,5868","5,5252","6,2477","0,0319","1,0915",1
"15,97","29,53","6,0489","4,3142","6,4741","0,0462","0,8756",1
"16,31","24,63","5,2663","5,0660","9,4037","0,0309","1,3919",1
"15,13","21,00","5,1328","4,5772","6,0164","0,0478","0,1463",1
"34,01","27,17","5,0466","5,5794","6,3039","0,0350","1,9921",1
"15,07","18,13","5,4998","4,4918","9,1905","0,0309","0,8914",1
"17,97","26,75","7,1163","2,1473","6,3213","0,0298","0,3731",1
"19,96","16,80","7,3666","4,7289","9,2396","0,0318","0,2059",1
"18,81","19,11","6,9315","4,3432","9,4597","0,0478","0,4662",1
"33,26","23,65","5,7577","4,8220","9,3523","0,0425","1,5722",1
"32,64","22,04","5,2226","5,5165","9,4097","0,0475","1,2740",1
"18,62","28,89","5,4484","2,0535","9,1053","0,0345","0,0583",1
"15,28","23,03","5,7568","5,1253","9,4301","0,0280","0,5908",1
"19,62","19,56","7,8177","5,9729","9,0741","0,0370","1,2451",1
"33,83","23,21","5,9460","4,9723","6,4656","0,0284","1,3016",1
"19,92","15,02","6,8840","2,5845","9,0438","0,0347","0,7070",1
"18,19","24,51","5,5113","5,5589","6,0221","0,0357","0,7746",1
"15,86","25,29","7,6178","2,8538","6,2687","0,0499","1,4486",1
"33,32","21,43","7,9333","2,0192","6,4517","0,0276","1,4838",1
"33,16","19,62","5,2402","4,7114","6,0126","0,0262","1,4670",1
"16,25","22,23","6,5378","3,5804","6,2373","0,0491","0,8092",1
"34,63","28,64","6,7859","3,8371","6,2590","0,0303","0,6037",1
"15,15","16,54","5,5714","2,8890","9,2172","0,0259","0,5226",1
"15,84","22,66","5,7509","3,9873","9,2978","0,0368","1,3423",1
"16,69","16,58","5,3834","3,2871","6,3300","0,0313","1,5621",1
"18,06","28,58","6,6822","3,7271","6,2688","0,0296","1,6954",1
"19,44","28,72","5,2482","3,4501","6,4431","0,0262","1,7870",1
"33,75","16,97","7,4975","4,7896","9,0181","0,0403","0,5247",1
"17,68","18,40","7,9447","4,5028","9,3507","0,0322","0,7927",1
"15,83","26,14","6,8316","2,9235","6,3837","0,0262","0,0406",1
"19,62","18,04","6,5123","2,6803","9,2702","0,0284","1,1421",1
"33,44","23,76","6,4451","5,3614","9,4003","0,0400","1,0187",1
"16,16","16,79","6,1108","5,2212","6,3377","0,0365","1,1784",1
"34,97","20,35","5,6418","3,2254","6,0339","0,0445","1,7502",1
"33,52","17,16","5,1148","4,4209","6,1783","0,0435","1,6413",1
"30,83","17,66","6,6097","3,1003","6,0878","0,0445","0,1494",1
"34,60","16,06","5,1049","4,3401","9,2828","0,0285","1,1051",1
"16,56","19,35","6,0761","2,4938","6,0973","0,0414","0,5111",1
"31,21","24,45","7,4720","3,7673","9,0114","0,0488","1,7863",1
"19,67","27,09","5,0737","5,5332","6,2854","0,0403","0,1447",1
"34,63","18,47","5,7346","4,9144","6,2254","0,0393","1,8694",1
"32,61","29,09","7,4824","3,9907","6,1993","0,0492","0,2454",1
"31,22","17,55","7,0029","2,2788","9,3786","0,0405","1,4394",1
"18,66","17,86","6,8861","5,1945","9,4397","0,0314","0,7073",1
"18,52","21,65","5,3315","3,6105","6,1250","0,0358","0,3738",1
"33,37","20,50","7,5000","3,8704","9,1563","0,0497","1,7434",1
"18,12","24,34","6,9763","5,3387","6,4473","0,0479","0,2529",1
"15,41","16,07","5,9386","2,5064","6,2299","0,0468","0,1957",1
"18,47","23,49","6,7204","3,6688","6,4468","0,0276","0,4381",1
"32,18","15,21","7,6041","5,7646","6,2632","0,0331","0,9195",1
"15,42","18,43","5,1405","2,0576","9,4630","0,0487","0,5262",1
"16,47","21,39","5,5038","5,8120","9,1749","0,0263","1,1266",1
"18,75","26,89","7,3216","5,9103","9,0881","0,0492","0,1126",1
"32,54","20,38","5,8785","5,9776","6,4437","0,0362","1,6591",1
"30,02","18,15","6,1888","2,9610","6,4417","0,0432","1,9562",1
"30,31","24,03","5,2303","5,8144","9,0580","0,0399","0,9867",1
"34,95","21,51","6,6066","5,4622","9,0727","0,0318","1,0557",1
"30,56","26,34","7,9918","5,0160","9,3384","0,0365","1,1092",1
"33,20","22,58","7,3641","4,7976","6,4732","0,0267","0,4803",1
"31,85","27,56","7,8412","2,2446","9,1162","0,0303","0,0450",1
"15,88","15,40","6,0331","5,4113","6,2129","0,0449","1,8819",1
"16,91","26,69","5,9774","2,1100","6,1323","0,0394","1,9879",1
"32,78","19,96","7,4053","3,3701","6,4091","0,0317","1,5604",1
"16,35","22,22","5,5906","3,8532","6,0708","0,0449","0,4069",1
"17,11","25,70","7,8573","5,7539","6,1740","0,0334","1,9560",1
"33,12","27,11","7,5570","3,8209","9,4978","0,0256","1,8090",1
"32,50","28,77","7,4568","2,4085","6,1304","0,0251","1,8592",1
"16,02","15,09","5,9549","3,8859","9,3424","0,0287","1,7907",1
"30,14","26,44","5,1055","3,8967","9,3936","0,0433","1,4430",1
"15,93","23,74","5,6596","4,6004","9,3721","0,0298","0,0784",1
"19,19","19,90","5,4257","2,2188","6,4720","0,0473","1,7104",1
"30,03","19,73","5,0878","2,0380","9,1779","0,0260","1,4024",1
"16,13","25,18","5,1346","4,0664","9,1047","0,0334","0,8031",1
"15,84","17,25","7,1061","3,1455","6,3594","0,0330","0,7379",1
"33,14","20,13","6,8869","2,5140","6,0575","0,0278","0,4370",1
"15,33","29,60","6,4712","5,8342","9,1774","0,0277","1,8149",1
"18,61","20,39","6,3444","3,9020","9,4622","0,0439","0,4976",1
"30,56","28,07","6,1905","5,0203","9,4041","0,0441","0,5853",1
"31,51","23,92","7,0199","3,4666","9,2951","0,0353","1,1546",1
"18,53","24,56","7,0142","3,9691","6,2138","0,0394","0,0470",1
"31,31","19,65","7,5408","4,5604","6,0487","0,0429","1,4427",1
"17,10","17,09","7,1042","4,2835","6,4171","0,0328","0,8399",1
"18,00","24,47","6,2288","3,7972","9,1135","0,0418","0,9536",1
"33,00","26,99","7,9425","3,0348","9,3289","0,0423","1,0056",1
"34,78","22,14","6,1600","3,4731","6,3837","0,0250","0,1101",1
"15,60","21,09","7,9925","5,2278","9,0600","0,0468","1,9419",1
"17,60","18,10","6,2087","4,7974","6,0888","0,0360","1,0198",1
"33,99","18,34","5,8695","4,9687","6,2096","0,0367","0,6252",1
"16,67","18,65","5,2888","3,7643","6,1761","0,0358","0,3212",1
"17,38","26,34","6,6272","5,4814","9,4891","0,0488","0,8377",1
"33,87","28,09","7,9246","2,9129","6,1835","0,0396","1,3637",1
"34,74","17,74","7,8282","2,9431","6,3210","0,0418","1,8813",1
"32,16","28,31","6,5479","3,8572","6,1851","0,0412","0,5153",1
"19,36","19,82","6,6806","5,7281","6,4793","0,0423","1,3062",1
"17,63","16,67","7,2359","2,2824","6,3573","0,0416","0,6980",1
"19,62","19,14","6,5306","2,3836","6,1179","0,0302","1,3133",1
"19,36","19,44","5,3775","2,3972","9,2417","0,0379","1,8964",1
"30,98","25,81","6,8674","2,5096","6,0680","0,0394","1,1753",1
"16,32","16,54","5,7052","4,8561","9,2477","0,0445","1,8926",1
"33,38","19,94","5,4972","4,1677","9,0048","0,0409","1,3170",1
"34,13","27,91","5,1323","5,9853","6,2062","0,0493","0,2340",1
"34,23","22,84","6,7872","5,4508","9,2164","0,0370","0,3084",1
"34,64","20,57","6,8322","2,8576","9,2205","0,0313","1,8492",1
"30,01","18,77","6,6509","2,9186","9,0126","0,0443","0,1260",1
"33,02","24,04","7,2430","2,1569","6,3696","0,0332","1,3294",1
"31,37","24,87","5,2496","4,4746","6,1183","0,0334","1,2448",1
"16,56","15,45","7,2253","4,3049","6,2627","0,0473","0,4108",1
"19,05","17,15","6,9629","4,5357","6,1946","0,0257","0,0706",1
"32,10","29,99","7,0788","4,2801","6,2883","0,0423","1,5911",1
"31,10","16,92","6,1532","2,1787","9,3733","0,0351","0,1822",1
"33,80","22,47","7,0293","4,1703","9,4921","0,0372","0,2488",1
"15,63","23,78","5,0332","5,5769","9,3119","0,0337","0,3080",1
"18,63","16,81","7,8951","4,4972","9,4805","0,0377","0,3807",1
"18,46","15,36","5,2164","3,2160","6,3625","0,0476","0,9980",1
"32,27","29,24","7,1480","5,3429","9,2763","0,0412","1,2038",1
"16,05","24,47","6,3313","3,2669","9,1213","0,0336","0,5387",1
"18,93","24,78","5,6352","2,5541","6,2861","0,0481","0,5450",1
"19,66","25,48","7,2690","5,6846","9,1593","0,0472","0,3859",1
"15,22","20,00","6,8694","4,7998","9,4942","0,0253","0,5504",1
"18,68","26,20","7,1959","5,6580","9,4006","0,0466","0,2659",1
"17,43","24,73","5,8777","5,2390","6,3146","0,0341","1,1260",1
"34,86","29,10","6,7961","2,3044","9,4196","0,0480","0,7482",1
"15,95","15,25","6,2798","5,1149","9,4405","0,0395","0,9893",1
"17,65","21,05","5,0093","2,2714","6,2555","0,0435","0,4881",1
"34,46","29,01","6,6054","3,0143","6,0057","0,0498","0,8149",1
"30,25","28,81","7,1833","2,5846","6,4919","0,0373","1,0692",1
"16,80","26,10","5,5632","5,6651","9,1476","0,0269","1,6725",1
"32,39","17,86","5,7135","3,1400","6,4504","0,0306","0,8846",1
"17,00","29,60","5,7499","4,4529","6,4116","0,0436","0,8233",1
"30,32","25,73","7,7025","2,5904","9,4777","0,0260","1,4284",1
"34,03","19,64","5,4950","4,9226","9,3901","0,0408","1,3075",1
"16,90","26,83","7,1779","5,8074","9,1608","0,0470","0,4608",1
"32,45","19,68","7,0252","3,0223","6,1091","0,0289","0,8028",1
"32,06","26,85","7,6631","5,8398","6,1696","0,0437","1,9314",1
"17,77","28,40","5,2849","2,6795","6,2325","0,0436","1,5478",1
"15,39","15,02","7,4980","3,8433","9,3218","0,0473","1,8949",1
"33,66","16,74","7,7840","3,5908","6,0880","0,0418","1,1512",1
"16,94","18,20","6,6106","4,1197","6,4318","0,0422","1,6133",1
"19,51","20,11","6,7852","5,2127","6,2658","0,0265","0,3914",1
"33,65","15,89","5,3684","5,9847","9,4003","0,0315","1,2519",1
"34,93","26,83","7,3003","4,6967","6,0026","0,0401","1,4260",1
"17,65","16,22","7,3443","2,4682","6,2751","0,0266","1,9748",1
"19,76","17,61","6,2037","5,3240","6,4716","0,0400","1,7340",1
"33,77","26,42","5,1904","3,0519","6,3791","0,0314","0,0219",1
"32,76","17,75","6,8556","3,6085","9,3676","0,0473","0,5812",1
"34,63","17,14","6,9321","4,7624","9,3471","0,0296","1,7189",1
"16,84","26,37","7,8123","3,5081","6,4251","0,0313","1,9293",1
"15,17","17,69","5,2076","2,2490","9,4412","0,0365","1,9732",1
"33,68","29,07","5,1083","3,3376","9,4378","0,0302","0,0650",1
"18,50","18,12","7,3310","2,4692","9,3208","0,0369","0,8883",1
"19,10","19,28","5,6720","5,2781","6,2647","0,0460","0,0743",1
"32,60","29,68","6,5350","4,2786","6,2798","0,0268","0,9948",1
"17,22","22,13","5,7348","2,8064","9,4644","0,0279","0,9866",1
"16,62","19,04","7,7702","5,5763","6,3042","0,0398","0,1480",1
"19,87","15,61","6,1011","4,2153","6,3464","0,0332","1,5824",1
"30,37","26,32","6,9508","4,4759","9,0059","0,0302","0,2541",1
"33,17","18,68","6,6107","5,2673","9,3978","0,0281","0,3040",1
"16,76","28,57","5,5128","3,4027","9,3239","0,0455","0,5481",1
"30,61","21,91","5,0709","2,2213","6,1410","0,0496","0,2859",1
"17,19","25,83","6,8750","4,5711","6,0489","0,0431","0,2939",1
"33,76","15,88","5,4095","2,7314","9,0514","0,0362","1,8852",1
"33,16","15,18","5,3410","4,5168","9,0443","0,0413","1,9833",1
"33,98","21,00","5,1384","4,5946","9,4668","0,0262","1,4201",1
"33,16","29,93","6,7163","3,5844","6,4265","0,0292","1,8136",1
"30,22","29,03","6,6484","2,9884","9,4318","0,0327","1,7314",1
"33,81","25,86","5,0208","3,3085","6,1652","0,0429","0,2161",1
"33,32","29,11","6,8257","5,1968","6,2161","0,0426","0,0219",1
"16,68","19,16","7,9121","2,3264","9,4314","0,0252","0,7590",1
"30,69","20,92","6,8055","2,4978","9,2058","0,0441","0,3599",1
"19,34","18,58","6,4487","2,4485","9,2150","0,0455","1,5033",1
"30,90","26,64","7,6227","2,1908","6,2348","0,0383","1,3658",1
"34,35","16,01","5,7236","4,3452","6,4955","0,0385","0,6240",1
"31,44","22,44","6,1523","3,6176","6,0487","0,0469","1,6940",1
"30,46","16,31","7,5691","3,5804","6,1704","0,0390","0,7542",1
"31,47","24,32","7,4907","2,2710","9,4404","0,0251","1,6847",1
"30,90","19,75","5,8286","4,1490","6,1665","0,0398","1,6292",1
"33,23","16,38","5,7109","2,7413","9,3229","0,0313","1,5404",1
"33,30","28,78","6,3788","2,6078","9,2397","0,0422","0,1860",1
"30,62","17,08","7,6973","4,4968","9,0083","0,0495","0,4176",1
"34,05","29,97","7,8989","5,4374","9,1015","0,0340","1,1681",1
"17,52","27,68","5,8425","5,5306","9,2097","0,0304","1,6888",1
"15,87","25,31","6,7658","3,4663","6,4595","0,0472","1,7497",1
"17,42","28,98","5,5217","2,6960","6,3568","0,0370","0,0930",1
"15,64","23,58","6,8116","2,9452","9,1797","0,0350","1,3831",1
"15,16","19,32","7,3776","5,7439","9,2120","0,0433","1,1579",1
"15,08","24,11","6,1956","2,6950","6,2358","0,0397","1,6670",1
"16,64","21,92","5,0434","5,5288","6,2374","0,0416","0,6379",1
"30,58","18,55","6,3689","4,0802","6,2759","0,0399","0,6538",1
"15,00","27,46","7,7304","5,2251","9,0145","0,0429","0,4596",1
"33,95","19,20","6,0182","2,9001","9,1931","0,0474","1,2805",1
"33,23","28,11","6,7249","5,6468","6,2071","0,0323","0,9263",1
"32,17","16,60","6,5929","3,8215","9,1124","0,0378","1,1706",1
"18,74","17,28","7,3549","5,5766","6,3211","0,0464","0,0932",1
"18,95","25,81","5,8827","2,0838","6,2874","0,0379","1,6394",1
"31,37","15,87","6,3500","5,9041","6,1706","0,0500","0,2314",1
"19,29","15,29","7,9081","4,1500","9,3060","0,0458","0,6703",1
"34,28","19,82","6,8126","3,8858","6,2566","0,0411","0,3795",1
"19,43","25,22","5,2449","5,0331","6,4620","0,0384","1,0326",1
"33,10","27,41","5,5139","5,7244","6,2533","0,0495","1,4830",1
"16,05","17,88","5,3730","4,7850","9,3817","0,0441","0,5910",1
"16,83","28,77","7,3168","4,9552","9,0730","0,0362","1,3224",1
"18,99","22,70","7,2329","2,9114","6,0481","0,0318","0,8711",1
"19,81","24,74","5,9357","2,1475","6,1455","0,0270","1,1698",1
"16,15","19,65","6,0392","2,1395","9,0652","0,0464","0,6134",1
"33,08","23,08","6,7572","3,2805","9,3476","0,0278","1,1301",1
"34,25","29,10","7,5852","5,7538","6,0004","0,0290","1,9853",1
"17,53","26,17","5,9380","2,3541","6,3975","0,0443","1,0946",1
"30,16","16,70","7,3686","5,8835","9,1001","0,0335","1,7540",1
"30,65","26,73","6,6074","4,1096","6,1162","0,0412","0,0354",1
"33,25","28,00","7,5614","2,7611","6,0527","0,0494","0,7988",1
"17,94","22,41","5,3389","2,6769","9,1125","0,0440","0,5223",1
"15,46","27,66","6,4789","3,2521","9,3080","0,0322","1,0578",1
"18,44","17,97","5,5691","5,9677","6,0924","0,0381","0,7933",1
"18,11","21,17","6,9465","3,7941","9,4270","0,0349","0,8156",1
"30,29","23,21","7,7557","5,3504","9,0416","0,0365","1,4123",1
"30,37","22,26","7,9420","3,8740","6,4802","0,0459","0,2585",1
"18,99","27,83","7,3577","2,6307","6,4231","0,0415","0,8300",1
"17,32","23,45","5,1188","4,6111","6,1307","0,0350","0,6974",1
"31,95","27,77","6,8524","2,4601","9,4490","0,0343","0,5410",1
"31,50","21,58","5,3461","5,2093","9,2349","0,0383","0,9800",1
"32,36","20,23","7,2300","2,2393","6,0569","0,0447","0,0288",1
"31,63","21,00","7,2601","5,8017","6,4486","0,0353","0,8476",1
"31,31","19,83","5,7501","2,5386","9,1327","0,0491","1,1564",1
"19,86","17,99","5,5281","3,7506","9,2451","0,0487","1,7884",1
"17,02","21,45","5,0620","3,6141","9,1389","0,0307","1,5634",1
"19,03","28,25","7,2117","2,3454","9,1108","0,0295","1,8284",1
"18,78","23,98","7,0637","4,0679","9,0924","0,0262","0,6380",1
"32,27","26,87","5,8111","3,6118","6,1366","0,0379","0,0393",1
"19,26","15,69","6,5131","5,9278","9,4098","0,0278","1,9574",1
"31,15","28,15","7,3546","2,7375","9,0968","0,0356","0,7705",1
"33,12","18,06","7,9808","4,4919","9,1109","0,0307","1,8455",1
"18,38","15,33","6,5191","2,7101","6,3032","0,0453","1,9082",1
"31,34","28,16","6,5281","2,2871","9,0848","0,0347","1,3943",1
"33,76","26,61","6,0847","4,8804","9,0421","0,0292","0,7835",1
"17,51","27,70","7,4052","5,0780","9,2274","0,0313","0,6404",1
"17,90","29,12","5,6972","2,3595","6,0738","0,0355","1,6131",1
"17,89","22,94","6,1668","5,1769","6,2522","0,0436","0,3743",1
"15,62","16,20","5,8248","4,0660","9,1108","0,0311","1,4491",1
"34,14","15,36","5,4686","3,8654","9,4094","0,0459","1,4007",1
"19,16","16,91","6,9409","2,8951","9,2788","0,0458","0,6519",1
"17,52","24,35","7,9558","2,5423","6,4841","0,0363","0,4282",1
"16,39","15,83","5,4707","5,6590","9,2805","0,0304","0,0855",1
"31,42","18,52","7,2249","4,7540","6,0935","0,0468","0,7959",1
"19,01","23,26","6,2700","5,2984","6,4747","0,0375","0,0869",1
"19,17","22,42","7,8994","4,5950","6,1549","0,0291","1,3877",1
"19,84","24,82","7,4133","4,5905","6,4048","0,0444","0,1993",1
"31,65","29,81","7,9128","3,6285","6,1398","0,0432","0,2405",1
"17,35","15,49","7,9500","4,7660","9,1490","0,0253","0,1343",1
"15,91","15,87","7,3254","2,6075","6,0553","0,0405","0,2111",1
"19,06","29,51","7,8854","4,5684","9,4879","0,0269","1,2563",1
"17,21","19,98","6,9166","5,1392","6,3382","0,0401","0,3644",1
"34,58","22,99","5,0587","5,0135","6,0667","0,0285","1,0577",1
"30,60","28,55","5,7626","3,5095","9,1250","0,0341","1,5924",1
"16,52","27,38","7,1439","2,7389","6,4485","0,0283","0,6577",1
"16,00","19,48","7,1742","3,6301","9,0312","0,0486","0,6983",1
"18,50","24,29","7,4347","3,5840","9,3604","0,0324","0,0383",1
"19,55","28,50","5,6400","2,8884","9,1133","0,0349","0,4119",1
"31,68","28,28","6,1514","5,7467","9,2897","0,0254","1,8416",1
"33,74","16,18","5,5409","5,5928","6,4584","0,0392","0,6793",1
"32,32","24,43","5,2041","4,9137","6,2499","0,0379","0,3159",1
"16,76","28,90","7,9255","4,9468","9,0847","0,0475","0,6854",1
"17,55","25,65","6,9407","3,7220","6,2945","0,0481","1,8661",1
"19,21","21,81","7,5292","3,0931","9,0007","0,0384","0,8418",1
"19,62","27,36","6,0308","5,4411","6,1285","0,0426","0,4991",1
